"id","name"
3,"Alge på bjørk"
250,"Alke"
5,"Alm"
7,"Atlantisk høgmyr areal"
50,"Aure"
9,"Bananslørsopp"
10,"Begerfingersopp"
11,"Begroing elver eutrofierings indeks"
233,"Begroing elver forsurings indeks"
12,"Berggylte"
399,"Bjørkefink"
23,"Blåbær"
16,"Blåkveite"
18,"Blåskjell"
390,"Blåstrupe"
20,"Blåtopp i fuktig kystlynghei"
343,"Bløtbunn artsmangfold fauna hav"
21,"Bløtbunn artsmangfold fauna kyst"
22,"Bløtbunn eutrofiindeks"
398,"Bokfink"
282,"Boltit"
27,"Brosme"
29,"Brunbjørn"
338,"Brunmyrak"
31,"Bunndyr elver forventningsamfunn"
228,"Bunndyr-eutrofieringsindeks (ASPT)"
231,"Bunndyr-forsuringsindeks (Raddum 1)"
351,"Dagsommerfugler i skog"
416,"Dagsommerfugler i åpent lavland"
340,"Dikesoldogg"
410,"Dompap"
314,"Duetrost"
36,"Dyreplankton artssammensetning"
38,"Edelkreps"
41,"Eldre lauvsuksesjon (MiS)"
42,"Elg"
43,"Elvemusling"
211,"Engmarihand"
150,"Engvokssopper"
301,"Enkeltbekkasin"
49,"Fiolgubbe"
268,"Fiskemåke ferskvann"
242,"Fiskemåke kyst"
284,"Fjellerke"
52,"Fjellrev"
53,"Fjellrype"
54,"Fjellvalmue"
286,"Fjellvåk"
392,"Flaggspett"
28,"Flekkhvitkjuke"
270,"Fossekall"
110,"Fossenever"
407,"Fuglekonge"
60,"Gamle trær (MiS)"
434,"Gammel skog"
62,"Gaupe"
408,"Gjerdesmett"
303,"Gluttsnipe"
317,"Granmeis"
318,"Gransanger"
66,"Greplyng"
414,"Grå fluesnapper"
245,"Gråmåke"
68,"Grønlandssel"
69,"Grønn fåresopp"
72,"Grønngylte"
394,"Grønnspett"
304,"Grønnstilk"
305,"Gulerle"
335,"Gulsanger"
412,"Hagesanger"
74,"Hardbunn vegetasjon algeindeks"
75,"Hardbunn vegetasjon nedre voksegrense"
287,"Havelle"
234,"Havhest"
235,"Havsule"
257,"Havørn"
288,"Heilo"
289,"Heipiplerke"
77,"Hjort"
359,"Humler i skog"
417,"Humler i åpent lavland"
337,"Hvitmyrak"
84,"Hyse"
319,"Hønsehauk"
85,"Issoleie"
86,"Isterviersumpskog"
400,"Jernspurv"
88,"Jerv"
89,"Jordstjerner"
90,"Jordtunger"
438,"Karplanter i semi-naturlig eng"
92,"Klappmyss"
95,"Kolmule"
322,"Kongeørn"
98,"Kopperrød slørsopp"
385,"Krikkand"
247,"Krykkje"
100,"Kusymre"
101,"Kveite"
386,"Kvinand"
94,"Køllesopper"
104,"Laks - kyst og elver"
360,"Laks i havet"
105,"Lange"
106,"Lappkjuke"
290,"Lappspurv"
439,"Lavhei i villreinkommuner"
108,"Liggende død ved (MiS) – arealandel"
419,"Liggende død ved – mengde"
109,"Lirype"
111,"Lodde"
251,"Lomvi"
253,"Lunde"
324,"Løvsanger"
115,"Makrell"
248,"Makrellterne"
326,"Munk"
307,"Myrsnipe"
125,"Myrtelg"
325,"Måltrost"
396,"Nøtteskrike"
130,"Olavsstake"
384,"Orrfugl"
134,"Oter ferskvannsbestand"
135,"Oter kystbestand"
142,"Palsmyr areal"
145,"Planteplankton (Chl a)"
146,"Planteplankton innsjøer"
252,"Polarlomvi"
149,"Praktrødspore"
151,"Prestekrage"
152,"Purpurlyng"
389,"Ravn"
156,"Reker hav"
409,"Ringdue"
391,"Ringtrost"
433,"Rogn-Osp-Selje"
153,"Rådyr"
249,"Rødnebbterne"
308,"Rødstilk"
406,"Rødstjert"
402,"Rødstrupe"
395,"Rødvingetrost"
165,"Sei"
167,"Sennegras"
298,"Siland"
369,"Sild - havgående bestander"
440,"Sildemåke"
310,"Sivspurv"
339,"Smalsoldogg"
370,"Smågnagere - fjellbestander"
332,"Smågnagere - skogbestander"
275,"Smålom"
311,"Småspove"
291,"Snøspurv"
180,"Solblom"
292,"Steinskvett"
333,"Stokkand"
186,"Storfugl"
241,"Storjo"
277,"Storlom"
187,"Storpiggslekten (sopp)"
236,"Storskarv ssp carbo"
237,"Storskarv ssp sinensis"
278,"Strandsnipe"
183,"Stående død ved (MiS) – arealandel"
418,"Stående død ved – mengde"
296,"Svartand"
246,"Svartbak"
328,"Svarthvit fluesnapper"
222,"Svartkutling"
403,"Svartmeis"
194,"Svartnende kantarell"
195,"Svartsonekjuke"
393,"Svartspett"
397,"Svarttrost"
196,"Sveltstarr"
312,"Svømmesnipe"
436,"Tamrein"
254,"Teist"
202,"Tilstand kystlynghei"
201,"Tilstand semi-naturlig eng og strandeng"
415,"Tjeld"
203,"Tobis"
279,"Toppand"
330,"Toppmeis"
239,"Toppskarv"
378,"Torsk - havsbestander"
313,"Trane"
405,"Trekryper"
401,"Trepiplerke"
207,"Trær med hengelav (MiS)"
209,"Ulv"
380,"Ungsild (1-2 år)"
208,"Vanlig uer"
213,"Vannplanter innsjø"
215,"Vier alpint belte"
216,"Villrein"
1,"Ål"
293,"Ærfugl"
141,"Øyepål"
